title,year,genre,rating,votes,plot,tags
RayForce,1994,"action, sci-fi",6.5,9,"In the distant future, human governments construct a massive supercomputer called ""Con-Human"". Con-Human was designed to govern Earth's environmental systems as well as verifying nutrients ...                See full summary »","['soundtrack', 'fire', 'sound', 'laser', 'simple', 'hardcore', 'ships']"
Patapon 3,2011,"action, music",6.5,24,Missing,['exclusive']
Teenage Mutant Ninja Turtles: Out of the Shadows,2013,"action, adventure, sci-fi",6.5,77,"Be the turtles, play as the turtles with friends or you can be all four by yourself. Defeat The shredder and become the Heroes in a Half Shell!","['singleplayer',  'multiplayer', 'co-op', 'third person', 'partial controller support', 'steam leaderboards', 'local co-op', ""beat 'em up"", 'combat', 'superhero', 'city', 'masterpiece', 'ninja', 'remote play together', 'shadows']"
Trog,1991,"action, fantasy",6.5,11,Missing,"['singleplayer', 'multiplayer']"
Phantasy Star Online 2,2012,"action, adventure, fantasy",6.5,25,"The player starts as a recruit of ARKS, a task force part of Oracle, an intergalactic fleet. This fleet contains many ships as large as entire cities to house the four races: Humans, ...                See full summary »","[ 'multiplayer', 'great soundtrack', 'rpg', 'co-op', 'sci-fi', 'partial controller support', 'online co-op', 'fantasy', 'free to play', 'action rpg', 'anime', 'cross-platform multiplayer', 'character customization', 'in-app purchases', 'cute', 'memes', 'jrpg', 'online', 'mmorpg', 'mechs', 'japan', 'hentai', 'farming sim']"
Lego Battles: Ninjago,2011,"action, fantasy",6.5,30,Missing,['exclusive']
Starblade,1991,"action, sci-fi",6.5,16,"Team Starblade is thrust to stop the enemy invasion, led by Mechanized Planet Red-Eye, from destroying the Mother Planet.",['singleplayer']
Mass Effect: Infiltrator,2012,"action, sci-fi",6.5,45,The protagonist Randall Ezno is sent from mass effect with a help his old friend Inali to save the future from outer space with a fight from Cerberus and Turian.,"['story rich', 'sci-fi', 'space', 'romance', 'first person mod']"
Zeno Clash,2009,"action, adventure, fantasy",6.5,51,Missing,"['singleplayer',  'atmospheric',   'story rich', 'first-person', 'fps', 'fantasy', 'exploration', 'action-adventure', 'short', 'cinematic', ""beat 'em up"", 'surreal']"
Vandyke,1991,"action, adventure, fantasy",6.5,8,Missing,"['singleplayer',  'stealth', 'turn-based']"
Cabela's Dangerous Hunts 2013,2012,action,6.5,21,"Players navigate the environment from a first-person perspective, and must defend themselves from waves of predators and other hostile animals.","['singleplayer', 'split screen', 'america', 'hunting']"
Shrek,2001,"animation, action, adventure",6.5,110,This is an open world game based on Shrek. Players venture out on a quest to the Dark Tower Fortress to save the fair Princess Fiona from the evil wizard Merlin.,['singleplayer']
