title,year,genre,rating,votes,plot,tags
Dragon Quest Heroes: The World Tree's Woe and the Blight Below,2015,"adventure, fantasy",7.4,134,"In the kingdom of Elsarze, mankind and monsters live together in harmony, until a dark presence causes the monsters to turn against mankind. Two royal guards, alongside their king, the head...                See full summary »","['rpg', 'friends', 'monsters', 'square', 'bird']"
Nuclear Throne,2013,"action, adventure, fantasy",7.4,57,"Nuclear Throne is a top down fast-paced action shooter with a wide cast of selectable characters. As you explore the wasteland left after humanities extinction, search for the Nuclear Throne, the ultimate power on the planet.","['singleplayer',  'full controller support',  'great soundtrack', 'rpg', 'co-op', 'steam leaderboards', 'difficult', 'split screen', 'local co-op', 'pixel graphics', 'local multiplayer', 'stats', 'post-apocalyptic', 'roguelike', 'top-down', 'roguelite', 'bullet hell', 'perma death', 'top-down shooter', 'twin stick shooter', 'gamemaker']"
Dex,2015,sci-fi,7.4,28,Missing,"['singleplayer',  'full controller support', 'atmospheric',  'rpg', 'open world', 'sci-fi', 'female protagonist', 'violent', 'stealth', 'role-playing', 'nudity', 'controller support', 'captions available', 'side scroller', 'cyberpunk', 'metroidvania', 'overlay', 'achievements', 'kickstarter', 'other']"
Project X Zone 2,2015,"action, adventure, comedy",7.4,24,Mysterious golden chains have been discovered around Shibuya. It's up to Shinra agents Reiji Arisu and Xiaomu to investigate.,"['role-playing', 'exclusive']"
Fantasia: Music Evolved,2014,music,7.4,10,Missing,"['exclusive', 'magic', 'music', 'mars']"
Crypt of the NecroDancer,2014,"action, adventure, fantasy",7.4,89,"Cadence, in search for her dad, falls into a crypt controlled by the NecroDancer, who steals Cadence's heart and forces her to challenge his minions to retrieve it.","['singleplayer',  'full controller support',   'great soundtrack', 'rpg', 'co-op', 'fantasy', 'steam leaderboards', 'difficult', 'female protagonist', 'local co-op', 'pixel graphics', 'steam workshop', 'retro', 'role-playing', 'includes level editor', 'controller support', 'captions available', 'roguelike', 'roguelite', 'music', 'achievements', 'dungeon crawler', 'procedural generation', 'rhythm', 'leaderboards']"
Karateka,2012,action,7.4,7,Missing,['singleplayer']
My Amazing Human Body,1997,"animation, family",7.4,10,A multimedia program designed to teach children about human anatomy and physiology. A 3D skeleton character helps children learn about the human body with interactive activities such as ...                See full summary »,"['human', 'biology', 'health', 'freeware', 'home-schooling']"
Rainbow Moon,2012,adventure,7.4,15,Missing,"['rpg', 'fps', 'fun', 'square', 'moon', 'rainbow']"
VVVVVV,2010,"adventure, sci-fi",7.4,115,"VVVVVV follows Captain Viridian, the captain of the DSS Souleye. After a malfunction on their ship, Viridian is separated from his 5 crew members and must find them again, while collecting ...                See full summary »","['singleplayer', 'multiplayer', 'full controller support', 'great soundtrack', 'open world', 'sci-fi', 'difficult', 'classic', 'exploration', 'pixel graphics', 'retro', 'space', 'short', 'metroidvania', 'minimalist']"
Kentucky Route Zero,2013,"adventure, mystery",7.4,128,"A magical realist adventure game about a secret highway in the caves beneath Kentucky, and the mysterious folks who travel it.","['singleplayer', 'full controller support', 'atmospheric', 'great soundtrack', 'story rich', 'horror', 'exploration', 'point & click', 'mystery', 'surreal', 'kickstarter', 'episodic', 'interactive fiction', 'einzelspieler', 'artsy']"
Dead or Alive 5: Last Round,2015,action,7.4,230,With the fifth DOA tournament looming the usual suspects from this critically acclaimed franchise line up with newcomers to find out who will be crowned this years winner.,"['multiplayer', 'online', 'ninja', 'history', 'fighter', 'word']"
Jazzpunk,2014,comedy,7.4,110,"Jazzpunk is a comedy adventure set in an alternate reality Cold War World, plagued with corporate espionage, CyberCrime, and sentient martinis.","['singleplayer',  'full controller support',  'great soundtrack', 'first-person', 'funny', 'exploration', 'comedy', 'free to play', 'controller support', 'short', 'memes', 'walking simulator', 'cyberpunk', 'surreal', 'cold war']"
Fatal Frame: Maiden of Black Water,2014,"horror, mystery",7.4,65,"Playing three different protagonists, you explore Hikami Mountain, a place infamous for suicides and spiritual happenings connected with local bodies of water.","['horror', 'exclusive']"
TV Animation X: Unmei No Tatakai,2002,"action, fantasy",7.4,6,A air-based fighting game based on the Anime released on the PlayStation.,"['singleplayer', 'management']"
The Legend of Korra,2014,"action, adventure, fantasy",7.4,404,"After Avatar Aang dies, a new Avatar rises and her name is Korra.","['singleplayer',  'full controller support', 'atmospheric',  'great soundtrack', 'third person', 'fantasy', 'difficult', 'female protagonist', 'anime', 'hack and slash', 'family friendly', ""beat 'em up"", 'magic', 'steampunk', 'cartoon', 'character action game', 'spectacle fighter', 'martial arts']"
Infamous: First Light,2014,"action, adventure, fantasy",7.4,1256,"Explore the past of Infamous Second Son's character Abigail Walker, a young punk and conduit who's captured in a government's facility for people with special powers.","['action-adventure', 'exclusive', 'parkour']"
Borderlands: The Pre-Sequel!,2014,"action, adventure, comedy",7.4,1907,"Before the events of Borderlands 2, Handsome Jack begins a rise to power on the surface of Elpis, Pandora's Moon, while a group of vault hunters battles a rouge military group known as The Lost Legion.","['singleplayer',  'multiplayer', 'full controller support', 'atmospheric',   'rpg', 'co-op', 'open world', 'first-person', 'sci-fi', 'fps', 'online co-op', 'funny', 'female protagonist', 'comedy', 'action rpg', 'space', 'memes', 'loot']"
Might & Magic: Clash of Heroes,2009,"adventure, fantasy",7.4,41,Missing,"['partial controller support', 'online multiplayer', 'early access', 'moba']"
Guacamelee!,2013,"action, adventure, fantasy",7.4,545,"Juan Aguacate must return from the land of the dead to rescue his childhood friend and love interest, Lupita, from sacrifice at the hands of evil charro skeleton Carlos Calaca.","['combat', 'metroidvania', 'character', 'party', 'monsters', 'coins']"
VS. Super Mario Bros.,1986,"action, adventure, fantasy",7.4,33,"Play as Mario and Luigi to save the princess in this challenging VS. edition of the classic ""Super Mario Bros."" with more enemies, fewer warps, and new levels.","['singleplayer', 'multiplayer']"
Pokémon Colosseum,2003,"action, adventure, family",7.4,265,You play as Wes in this Pokemon RPG for the Nintendo Gamecube where you must rescue Shadow Pokemon.,"['singleplayer', 'multiplayer', 'exclusive']"
NHL 13,2012,"action, sport",7.4,78,Missing,"['friends', 'speed', 'hockey']"
Pokémon Pinball Mini,2001,family,7.4,8,Missing,['singleplayer']
Unepic,2011,"action, adventure, comedy",7.4,26,"Daniel was just an average guy, He was a great gamer, Especially at RPGs, In the midst of an RPG, He was teleported to a castle, While he thought it was a hallucination, Daniel will soon discover that everything is not what it seems..","['singleplayer',  'multiplayer',   'rpg', 'co-op', 'partial controller support', 'online co-op', 'fantasy', 'funny', 'exploration', 'comedy', 'pixel graphics', 'retro', 'role-playing', 'includes level editor', 'controller support', 'side scroller', 'roguelike', 'magic', 'metroidvania']"
On Cinema Film Guide,2013,comedy,7.4,19,"Host Tim Heidecker and Featured Resident Guest And Film Expert Gregg Turkington share their expertise as they offer up-to-date, reliable opinions on the latest and greatest movie releases. ...                See full summary »","['singleplayer', 'atmospheric', 'great soundtrack', 'story rich', 'first-person', 'partial controller support', 'horror', 'dark', 'captions available', 'short', 'walking simulator', 'surreal', 'narration', 'psychological', 'experimental', 'abstract', 'experience']"
Rube Works: The Official Rube Goldberg Invention Game,2013,comedy,7.4,10,Missing,"['singleplayer', 'steam achievements']"
Titanfall,2014,"action, sci-fi, war",7.4,1885,"Science-fiction shooter video game that juxtaposes small vs. giant, natural vs. industrial, man vs. robot.","['multiplayer', 'full controller support', 'first-person', 'sci-fi', 'fps', 'gore', 'violent', 'space', 'pvp', 'team-based', 'parkour', 'combat', 'dystopian', 'online pvp', 'robots', 'steam trading cards', 'mechs', 'class-based', 'hero shooter', 'ship', 'planets']"
Legend of Grimrock,2012,fantasy,7.4,59,Missing,"['singleplayer',  'atmospheric', 'rpg', 'first-person', 'fantasy', 'difficult', 'tactical', 'steam workshop', 'retro', 'role-playing', 'includes level editor', 'moddable', 'replay value', 'character customization', 'roguelike', 'dungeon crawler', 'level editor', 'real-time', 'party-based rpg', 'grid-based movement']"
Resogun,2013,"action, fantasy, sci-fi",7.4,144,A nig shoots his way out of a gladiator ring,['exclusive']
Psycho Fox,1989,adventure,7.4,23,Missing,['exclusive']
Dead Rising 3,2013,"action, horror, thriller",7.4,1115,"Rising 3 takes place ten years after the events of Dead Rising 2 (2010), in the city of Los Perdidos, California and follows a new protagonist, Nick Ramos, who is in the midst of the looming zombie apocalypse.","['zombies', 'combat', 'story', 'city', 'escape', 'virus']"
X-Men,1992,"action, sci-fi",7.4,102,Marvel's mutants face off against their nemesis Magneto in the popular arcade game from Konami.,"['singleplayer', 'multiplayer', 'exclusive']"
Payday 2,2013,"action, crime",7.4,1538,"Dallas, Hoxton, Wolf and Chains are back, as they descend into Washington D.C. for an epic crime spree.","['singleplayer',  'multiplayer', 'full controller support',  'great soundtrack', 'co-op', 'first-person', 'fps', 'online co-op', 'funny', 'stealth', 'tactical', 'in-app purchases', 'team-based', 'crime', 'pve', 'heist', 'gun customization']"
Heroes & Generals,2014,action,7.4,41,"Created by RETO MOTO, this fast-paced first person shooter takes place in WWII. Fight as the United States, Germany, or the Soviet Union, using a variety of vehicles and weapons.","['character', 'combat', 'unique']"
Warframe,2013,"action, adventure, fantasy",7.4,670,"In the far future, centuries after the Old War between the Orokin and the Sentients, the Grineer have taken over the solar system with their clone armies and only the Tenno, humans who where changed by the Void who fought against the Sentients, can defeat them.","['singleplayer', 'multiplayer',  'rpg', 'co-op', 'third person', 'sci-fi', 'partial controller support', 'fps', 'online co-op', 'free to play', 'third-person shooter', 'space', 'role-playing', 'hack and slash', 'in-app purchases', 'futuristic', 'parkour', 'cyberpunk', 'pve', 'ninja', 'looter shooter']"
G.I. Joe: A Real American Hero,1992,"action, sci-fi",7.4,22,Missing,"['singleplayer', 'multiplayer']"
Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness,2008,"action, adventure, comedy",7.4,6,Missing,"['rpg', 'horror', 'story', 'detective', 'work', 'humor', 'rain', 'lovecraft']"
Road of the Dead,2010,"action, horror, sci-fi",7.4,14,A mechanic attempts to escape a zombie infested city.,"['retro', 'zombies', 'infinite-runner', 'synthwave']"
Soul Sacrifice,2013,action,7.4,45,Missing,['exclusive']
Drakengard 3,2013,"action, adventure, drama",7.4,110,"In this twisted dark fantasy world, you play a songstress who must kill her sisters.",['exclusive']
Sports Champions 2,2012,sport,7.4,22,Missing,['exclusive']
Time Hollow,2008,"adventure, drama, sci-fi",7.4,12,Missing,"['anime', 'exclusive', 'mystery',  'visual novel', 'puzzles', 'time travel', 'supernatural', 'investigation', 'japanese', 'portals', 'localization', 'male protagonist', 'past', 'cutscenes']"
Ninja Gaiden: Episode III - The Ancient Ship of Doom,1991,"action, adventure, fantasy",7.4,72,Ryu Hayabusa starts a quest to discover Irene Lew's killer after he is blamed of her death.,['singleplayer']
Knights of the Round,1991,"action, adventure, fantasy",7.4,77,The story tells of a man who pulled the mighty sword Excalibur from a rock which no one else could achieve. This feat signified that he should be king of the Britons and lead them to peace....                See full summary »,"['singleplayer', 'co-op']"
NCAA Football 2012,2011,sport,7.4,36,Missing,"['online', 'console', 'soccer', 'challenge', 'future', 'match', 'defense', 'esports', 'tactics']"
ISS Pro Evolution,1999,sport,7.4,96,Play with your favorite football teams.,"['singleplayer', 'multiplayer', 'exclusive']"
Leisure Suit Larry: Reloaded,2013,"adventure, comedy",7.4,70,"Remake of 'Leisure Suit Larry', first released in 1987. Lovable loser Larry Laffer, a 40-year-old virgin in pursuit of losing his virginity.",['singleplayer']
Pipe Dream,1989,family,7.4,23,Each level of this abstract puzzler challenges the player to set up a network of pipes to allow an unspecified substance known as 'flooz' to flow through as many of those as possible. The ...                See full summary »,"['singleplayer', 'visual novel', 'dating sim', 'lgbtq+', 'otome']"
Castlevania: Lords of Shadow - Mirror of Fate,2013,"action, adventure, fantasy",7.4,314,"Set twenty-five years after the events of Castlevania: Lords of Shadow, Mirror of Fate recounts the story of Gabriel's descendants, as they battle their own destiny in each era only to discover their true, shocking fate.","['singleplayer',  'full controller support', 'atmospheric',  'fantasy', 'steam leaderboards', 'hack and slash', 'side scroller', 'metroidvania', 'gothic', 'vampire']"
Shadowrun Returns,2013,"action, adventure, fantasy",7.4,192,"Action adventure cyberpunk rpg with turn-based combat. A runner hires the player, a former teammate, to solve his murder. This takes the player to corrupt Seattle where a strange serial killer roams and dark spirits hide.","['singleplayer', 'atmospheric', 'rpg', 'story rich', 'sci-fi', 'fantasy', 'female protagonist', 'tactical', 'includes level editor', 'moddable', 'turn-based', 'isometric', 'turn-based strategy', 'cyberpunk', 'dystopian', 'kickstarter', 'crpg', 'crowdfunded']"
Rugrats Adventure Game,1998,"family, mystery, sci-fi",7.4,20,Missing,"['cute', 'cartoon', 'minigames', 'silly', 'cookies']"
Rift,2011,action,7.4,41,"Dive into a world of epic adventure. Create your perfect hero thanks to a uniquely customizable class system. Collect, craft, and customize your gear.","['singleplayer', 'multiplayer', 'atmospheric',  'rpg', 'co-op', 'open world', 'first-person', 'sci-fi', 'partial controller support', 'fps', 'online co-op', 'fantasy', 'survival', 'free to play', 'stealth', 'online multiplayer', 'tactical', 'third-person shooter', 'early access', 'anime', 'pvp', 'hack and slash', 'character customization', 'in-app purchases', 'crafting', 'futuristic', 'cinematic', 'magic', 'cyberpunk', 'mmo', ""shoot 'em up"", 'mmorpg', 'stylized', 'bullet hell', 'time manipulation']"
Crysis 3,2013,"action, adventure, sci-fi",7.4,2870,Prophet is forced to save New York City from CELL after the alien invasion in Crysis 2 (2011).,"['singleplayer', 'multiplayer', 'full controller support', 'story rich', 'open world', 'first-person', 'sci-fi', 'fps', 'gore', 'sandbox', 'violent', 'stealth', 'pvp', 'story', 'online pvp', 'city', 'race', 'benchmark', 'solo', 'alien', 'fast', 'demo', 'jungle', 'meme']"
Alex Kidd in Miracle World,1986,"adventure, family, fantasy",7.4,154,"On his way home from training, a young martial artist named Alex Kidd learns of a villain who has taken over his homeland and kidnapped his family, so he sets out on a quest to rescue them.","['online', 'challenge', 'unique', 'office']"
Madden NFL 13,2012,sport,7.4,166,"Popular video game for all consoles of the NFL, where you can be a player, be an owner a coach, or just play a normal match against the CPU.",['football']
X Multiply,1989,"action, horror, sci-fi",7.4,10,Missing,"['aliens', 'combat', 'battle', 'character', 'city', 'epic', 'fun', 'work', 'sword', 'shop']"
South Park: Tenorman's Revenge,2012,"action, adventure, comedy",7.4,56,"When the evil Scott Tenorman steals the hard drive to Cartman's Xbox 360, it's up to him and his friends to travel through time to fight his robot Ginger army.",['exclusive']
Wonder Boy: Monster Land,1987,"action, adventure, fantasy",7.4,47,"After the defeat of the evil king, the kingdom of Wonder Land was a paradise.. for a time, Until a fire-breathing dragon struck without a warning, Now Wonder Boy sets out on an incredible journey to rid evil dragon and his henchmen.",['role-playing']
Super Pac-Man,1982,family,7.4,54,"The fourth title of the Pac-Man series, the player must eat keys in order to open doors to open up sections of the maze.","['singleplayer', 'alternating turns']"
Pac-Man Plus,1982,family,7.4,22,Missing,['alternating turns']
Watch Dogs,2014,"action, crime, drama",7.4,8807,"After losing his niece in an assassination attempt, Aiden Pierce, a street-smart vigilante, uses hacking apps on his phone to take over a new operating system in Chicago to hunt the criminals that killed his niece.","['singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'co-op', 'open world', 'third person', 'partial controller support', 'fps', 'sandbox', 'stealth', 'third-person shooter', 'futuristic', 'parkour', 'driving', 'hacking', 'first person mod']"
Psychic 5,1987,"action, family, fantasy",7.4,8,Missing,"['singleplayer', 'multiplayer', 'co-op', 'partial controller support', 'online co-op', 'gore', 'female protagonist', 'violent', 'online multiplayer', 'split screen', 'local co-op', 'local multiplayer', 'cross-platform multiplayer', 'military', 'future']"
Perfect Dark,2010,"action, adventure, sci-fi",7.4,40,Same as the original game but with improved graphics. Join the Carrington institute's newest agent as she battles the evil Datadyne Corporation.,['exclusive']
TNA iMPACT!: Cross the Line,2010,"action, sport",7.4,27,TNA Impact!: Cross The Line is an updated version from the TNA iMPACT! (2008) video game.,['wrestling']
Infamous 2: Festival of Blood,2011,"action, adventure, fantasy",7.4,434,"Vampires have swarmed New Marais, and revered superhero Cole MacGrath has been bitten. To save his soul, and the city, he has just one night to find and kill the head vampire.",['exclusive']
Return to Mysterious Island,2005,adventure,7.4,32,Missing,"['singleplayer', 'female protagonist', 'point & click']"
Dead Rising 2: Off the Record,2011,"action, horror, thriller",7.4,491,"After surviving the Dead Rising zombie outbreak, Frank West quickly became a bit of a celebrity and is given his own talk show. But like many celebrities, he squanders his opportunities and soon finds that his fifteen minutes are up.","['singleplayer',  'atmospheric',   'great soundtrack', 'co-op', 'open world', 'third person', 'partial controller support', 'horror', 'online co-op', 'funny', 'gore', 'sandbox', 'comedy', 'zombies', 'survival horror', ""beat 'em up""]"
El Shaddai: Ascension of the Metatron,2011,"action, adventure, drama",7.4,54,"The story of El Shaddai takes place in a fantastical interpretation of biblical themes, taking primary inspiration from the apocryphal Book of Enoch. Enoch is sent by God to capture the ...                See full summary »","['singleplayer',  'sci-fi', 'partial controller support', 'fantasy', 'action rpg', 'controller', 'action-adventure', 'side scroller', 'cinematic', 'cyberpunk', 'story', 'hand-drawn', 'cartoony', 'narration', 'epic', 'spectacle fighter', 'psychedelic', 'fmv', 'ancient', 'motorbike', 'tower']"
KAO the Kangaroo: Mystery of the Volcano,2005,"action, adventure, family",7.4,8,"Kao the Kangaroo finds himself trapped on a tropical island after a plane crash. With his friend stuck inside a volcano, Kao has to collect four mystic artifacts in order to be able to reach him and get him safely off the island.","['singleplayer', 'partial controller support', 'funny', 'cute', 'colorful', 'relaxing', 'linear', 'runner', 'precision platformer', 'boxing']"
The Chaos Engine,1993,"action, sci-fi",7.4,30,"In 19th century Britain, a baron learns from a marooned time traveler how to create artificial intelligence. Unfortunately, the A.I. goes insane and attacks humanity. Now only mercs can stop it in this classic steampunk top down shooter.","['singleplayer',    'co-op', 'partial controller support', 'steam leaderboards', 'classic', 'split screen', 'retro', 'controller support', 'captions available', 'top-down', 'steampunk']"
The Mensional,2022,"action, adventure, mystery",7.4,78,Adventures of different characters with their unique atmosphere and puzzles.,"['singleplayer',  'atmospheric',  'partial controller support', 'difficult', 'exploration', 'dark', 'mystery', 'physics', 'surreal', 'relaxing', 'quick-time events', 'minimalist', 'time travel', 'puzzle platformer', 'qte']"
Bakugan: Defenders of the Core,2010,fantasy,7.4,36,The sequel to Bakugan: Battle Brawlers (video game).,"['monsters', 'evil']"
"Haiku, the Robot",2022,"action, adventure, fantasy",7.4,6,"Delve into the depths of a mechanical world in this cute, adventure-exploration game. Explore and fight in a land full of corrupt robots and machinery. All while seeking answers to the mysteries around you.","['singleplayer',  'full controller support',  'captions available', 'metroidvania', 'lore-rich']"
The Lion King 1½,2003,family,7.4,11,Timon the meerkat and Pumbaa the warthog are best pals and the unsung heroes of the African savanna. This prequel to the smash Disney animated adventure takes you back -- way back -- before...                See full summary »,"['singleplayer', 'exclusive']"
IL-2 Sturmovik: Birds of Prey,2009,"action, war",7.4,55,Missing,"['singleplayer',  'multiplayer', 'partial controller support', 'historical', 'world war ii', 'flight', 'trackir']"
Rocket: Robot on Wheels,1999,"action, adventure, sci-fi",7.4,22,"In this game you play as Rocket, half unicycle, half robot, Players navigate through the seven game worlds using the robot's powerful tractor beam in place of arms to grab and lift items.","['singleplayer', 'exclusive']"
Prototype 2,2012,"action, adventure, horror",7.4,1719,"Sgt James Heller, a soldier and grieving husband, must take down everyone responsible for the murder of his family, and have his revenge.","['singleplayer',  'multiplayer', 'atmospheric',  'rpg', 'co-op', 'story rich', 'open world', 'third person', 'sci-fi', 'horror', 'gore', 'steam leaderboards', 'sandbox', 'violent', 'stealth', 'stats', 'zombies', 'hack and slash', 'parkour', 'superhero']"
Star Wars Arcade,1994,"action, sci-fi",7.4,39,Missing,"['singleplayer', 'multiplayer']"
Shin Megami Tensei: Devil Survivor,2009,"action, fantasy, horror",7.4,34,Missing,['role-playing']
WarioWare D.I.Y.,2009,fantasy,7.4,45,"Dr.Crygor had a dream where his Wii game came to live and gave him the idea of The Gameblender, and Wario decides to profit from it.",['game creation']
Super Meat Boy,2010,"action, adventure, comedy",7.4,1362,"Meat Boy goes to rescue his girlfriend Bandage Girl, who's been kidnapped by the evil Dr. Fetus.","['singleplayer',  'full controller support',  'great soundtrack', 'funny', 'gore', 'steam leaderboards', 'difficult', 'comedy', 'controller', 'pixel graphics', 'retro', 'replay value', 'side scroller', 'fast-paced', 'level editor', 'time attack', 'precision platformer']"
MotoGP 09/10,2010,sport,7.4,13,Missing,['multiplayer']
The Legend of Zelda: Spirit Tracks,2009,"action, adventure, family",7.4,606,A young engineer travels the land by train to retrieve princess Zelda's body from an evil chancellor and the Demon King.,['puzzles']
Need for Speed: Hot Pursuit,2010,"action, adventure, crime",7.4,2049,"Racers and cops never sleep in the county of Seacrest with the racers doing their best to outrun the law with a range of exclusive cars, and the cops trying to stop them with equal speed and horse power.","['singleplayer', 'multiplayer', 'atmospheric', 'great soundtrack', 'co-op', 'open world', 'online co-op', 'funny', 'controller', 'remake', 'driving']"
Nancy Drew: Trail of the Twister,2010,"adventure, mystery",7.4,37,Teen detective Nancy Drew investigates a tornado research team that is experiencing dangerous equipment malfunctions.,"['singleplayer', 'female protagonist', 'point & click', 'mystery']"
NBA 2K10,2009,sport,7.4,187,"MyPlayer mode is one of the new features; it in, players create their own player and play through their career in the NBA.","['stats', 'online', 'battle', 'ball', 'paint', 'shooting']"
Gran Turismo,2009,sport,7.4,67,Missing,"['singleplayer', 'multiplayer', 'exclusive']"
Doctor Who: The Adventure Games - TARDIS,2010,"adventure, sci-fi",7.4,70,Amid an accident in the TARDIS Amy's attempts to rescue the Doctor unwittingly unleash the creature known only as the Entity.,"['singleplayer',    'sci-fi', 'stealth', 'point & click', 'time travel']"
Resonance of Fate,2010,"action, adventure, drama",7.4,108,Resonance of Fate is a role-playing game that takes place in the future when the Earth becomes too poisonous to live on and humanity moves to the machine-city of Basel. It is a city built ...                See full summary »,"['rpg', 'story', 'battle', 'city', 'steam', 'gun', 'office']"
ModNation Racers,2010,"action, comedy, sport",7.4,134,"Enjoy karting fun, where you can shoot, boost and drift your way to the finish line. Create your unique racing experience, Mod character, quirky kart and imaginative track, and share your unique racing experience with the rest of the world.","['physics', 'online', 'character', 'mod', 'race', 'fun', 'racer']"
Blood: The Last Vampire,2000,"animation, action, horror",7.4,13,Missing,['singleplayer']
Happy Game,2021,"adventure, fantasy, horror",7.4,9,A little boy falls asleep to a horrible nightmare. Can you make him happy again?,"['singleplayer',  'atmospheric', 'story rich', 'partial controller support', 'horror', 'funny', 'gore', 'violent', 'dark', 'point & click', 'cute', 'colorful', 'surreal', 'linear', 'stylized', 'supernatural', 'psychedelic', 'escape', 'nightmare', 'creepy']"
Dead Space: Extraction,2009,"action, horror, sci-fi",7.4,360,A group of space colonists from the Aegis VII colony fight against the infection of Necromorphs created when the Red Marker was removed.,['horror']
Wings of Fury,1987,"action, war",7.4,12,Missing,['singleplayer']
Fight Night Round 4,2009,sport,7.4,106,Boxing game with the greatest boxers of all time,"['physics', 'science', 'fight', 'night']"
Call of Duty: World at War - Zombies,2009,"action, horror",7.4,11,"""Call of Duty: World at War - Zombies"" is a survival-horror first-person shooter video game designed for the iPhone. Based on the zombie-mode mini-game from ""Call of Duty: World at War"", ...                See full summary »","['singleplayer', 'multiplayer', 'great soundtrack', 'co-op', 'first-person', 'horror', 'fps', 'online co-op', 'gore', 'classic', 'survival', 'zombies', 'moddable', 'war', 'historical', 'world war ii', 'tanks']"
Ruined King: A League of Legends Story,2021,"action, adventure, fantasy",7.4,31,Missing,"['singleplayer',  'multiplayer', 'full controller support',  'great soundtrack', 'rpg', 'story rich', 'horror', 'fantasy', 'role-playing', 'isometric', 'jrpg', 'turn-based combat', 'hentai']"
Ghost Recon: Future Soldier,2012,"action, adventure, sci-fi",7.4,1454,"Join an elite team of highly trained soldiers. Armed to the teeth with unrivaled combat technology and cutting-edge military hardware, Ghost Recon takes you to the globe's most deadly war zones to hunt down the highest value targets.","['singleplayer', 'multiplayer', 'atmospheric', 'co-op', 'third person', 'fps', 'stealth', 'tactical', 'third-person shooter', 'war', 'futuristic', 'military', 'combat', 'fight', 'weapons', 'gun customization', 'balance', 'classes', 'ghosts']"
Blur,2010,"action, sport",7.4,405,Blur is an arcade-style racing game combined with vehicular combat.,"['singleplayer', 'great soundtrack', 'split screen', 'local co-op', 'local multiplayer', 'cars', 'vehicular combat']"
Trine,2009,"action, adventure, fantasy",7.4,496,"Three Heroes make their way through dangers untold in a fairytale world of great castles and strange machinery, featuring physics-based puzzles, beautiful sights and online co-op.","['puzzles', 'balance']"
Unpacking,2021,"adventure, family",7.4,84,Unpacking is a zen game about the familiar experience of pulling possessions out of boxes and fitting them into a new home.,"['singleplayer',  'full controller support', 'atmospheric', 'female protagonist', 'pixel graphics', 'point & click', 'family friendly', 'cute', 'isometric', 'management', 'relaxing', 'mouse only']"
MotorStorm: Pacific Rift,2008,action,7.4,153,"If u like wrecking cars and driving monster trucks, ATV's, and other vehicles then this game is for you. This game also has many maps and different game modes to play.",['exclusive']
LittleBigPlanet PSP,2009,"adventure, comedy, family",7.4,191,Sackboy must find all of the different Creator Curators to attend The Carnival of Creators.,['exclusive']
Crab Game,2021,"action, adventure, comedy",7.4,82,"Crab Game is a First-Person Multiplayer game where you play through several different minigames based on children's games, until only one player stands victorious.","['multiplayer', 'battle-royale', 'psychological-terror', 'multi-player-3d']"
Harvest Moon: Friends of Mineral Town,2003,adventure,7.4,6,"In this peaceful land, farmers will grow crops, take care of animals, and build relationships with the villagers.",['singleplayer']
Crysis Remastered Trilogy,2021,"action, adventure, sci-fi",7.4,47,"Remasters of the iconic single-player campaigns from Crysis, Crysis 2, and Crysis 3","['war', 'battle', 'city', 'fight', 'weapons', 'alien', 'speed', 'simple', 'invaders', 'technology', 'tactics', 'search', 'bow', 'super']"
Dragon: The Bruce Lee Story,1993,action,7.4,83,Martial arts action is defined by only one man: Bruce Lee! Now enter the world of Dragon for the ultimate martial arts showdown...authentic fierce brutal. It's a jeet kune do fight to the ...                See full summary »,"['singleplayer', 'multiplayer']"
Pokémon TCG Online,2012,adventure,7.4,10,Simulation of the tabletop collectible card game with role-playing elements similar to the main Pokémon role playing series. Players challenge non-player characters and other online players to card battles using 60-card decks.,"['online', 'character', 'friends', 'trading', 'fun', 'skill', 'challenge', 'collection', 'fire', 'water']"
FIFA Street 2,2006,sport,7.4,226,"The FIFA franchise moves to the street in this four-a-side football simulator where games are won on points, rather than goals.","['singleplayer', 'multiplayer']"
Mass Effect 2: Zaeed - The Price of Revenge,2010,"action, adventure, sci-fi",7.4,54,Missing,['rpg']
Muck,2021,"action, adventure, fantasy",7.4,34,Muck is a multiplayer survival where your goal is To fix up a boat by gathering different recourses by battling bosses and once you have Completed the boat set sail to the final boss.,"['third person', 'horror', 'short', 'demo']"
Fable III,2010,"action, adventure, fantasy",7.4,2755,"Your journey to rule the throne of Albion begins fifty years after the events of the last chapter, and you play as the child of your hero from Fable II (2008).","['steampunk', 'character', 'love', 'fall']"
Tekken 6,2007,"action, adventure, drama",7.4,1447,"Whilst continuing vast stories of all the characters, Tekken 6 includes new modes, over 40 fighters, bigger stages with more interactivity, enhanced character customization, and introduces a new rage system.","['story', 'online', 'battle', 'character', 'console']"
NHL 08,2007,sport,7.4,64,Missing,"['online', 'skill', 'speed', 'ice']"
Final Fight 2,1993,"action, adventure, crime",7.4,143,"Soon after Haggar, Cody, and Guy saved Haggar's daughter and defeated the Mad Gear Gang, they return with a new leader and kidnap Guy's fiancée, and the three must travel around the world to bring an end to the Mad Gear once and for all.","['singleplayer', 'co-op', ""beat 'em up""]"
